ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก (Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
(9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
32,ศ30225,ปฏิบัติการวงโยธวาทิต ม.ปลาย 4,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,0,0,จ.1-2,ห้องปฏิบัติการดนตรีสากล(วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล(วงโย) 321,
33,ศ30227,ปฏิบัติการวงโยธวาทิต ม.ปลาย 6,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,0,0,จ.1-2,ห้องปฏิบัติการดนตรีสากล(วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล(วงโย) 321,
34,ศ30228,ทักษะศิลปะตามถนัด2,1,2,1,อ.สกุล บางศรี,5,2,2,พฤ.7-8,ห้องปฏิบัติการศิลปะ 320,พฤ.7-8,ห้องปฏิบัติการศิลปะ 320,
,,,,,2,ผศ.พัชริน สงวนผลไพโรจน์,5,3-1-1,1,พฤ.7-8,ห้องปฏิบัติการศิลปะ 106,พฤ.7-8,ห้องปฏิบัติการศิลปะ 106,
,,,,,3,อ.ดร.อติญา วงษ์วาท,5,5-1-1-1+1,3,พฤ.7-8,ห้องปฏิบัติการศิลปะ 318,พฤ.7-8,ห้องปฏิบัติการศิลปะ 318,
35,ศ30233,ศิลปะไทยสร้างสรรค์,1,2,1,อ.อัฐพล หมั่นกุดเวียน,5,0,0,พฤ.7-8,ห้องปฏิบัติการศิลปะ 319,พฤ.7-8,ห้องปฏิบัติการศิลปะ 319,
36,ศ30234,จิตรกรรมสีน้ำมัน,1,2,1,อ.อัฐพล หมั่นกุดเวียน,5,2+1-1,2,จ.1-2,ห้องปฏิบัติการศิลปะ 319,จ.1-2,ห้องปฏิบัติการศิลปะ 319,
37,ศ30235,การปฏิบัติกลองไทยสร้างสรรค์,1,2,1,อ.ภูวิศ แถวเพีย (เต็ม),10,4,4,พฤ.7-8,ห้องปฏิบัติการดนตรีไทย 215,พฤ.7-8,ห้องปฏิบัติการดนตรีไทย 215,
38,ศ31228,แรงบันดาลใจทางศิลปะ,1,2,1,อ.ดร.อติญา วงษ์วาท,15,13-1-1-1-1+1+1-1,10,พ.3-4,ห้องปฏิบัติการศิลปะ 318,พ.3-4,ห้องปฏิบัติการศิลปะ 318,
39,ศ31229,วิเคราะห์การแสดงผ่านมิวสิควีดิโอ,0.5,1,1,อ.กชกร เทศถมยา (เต็ม),20,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,20,พฤ.9,ห้องปฏิบัติการขับร้องประสานเสียง,จ.6,ห้องปฏิบัติการขับร้องประสานเสียง,รายวิชาเปิดใหม่
40,ศ31230,ทักษะปฏิบัติรำวงมาตรฐาน,0.5,1,1,อ.กชกร เทศถมยา,15,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,18,จ.7,ห้องปฏิบัติการขับร้องประสานเสียง,อ.8,ห้องปฏิบัติการขับร้องประสานเสียง,รายวิชาเปิดใหม่
41,ง30258,การจัดการข้อมูลสู่แฟ้มสะสมผลงาน,1,2,1,อ.พริ้วฝน เทียนศรี,12,9-1+1+1+1,11,พฤ.7-8,ห้องปฏิบัติการ Smart IT,พฤ.7-8,ห้องปฏิบัติการ Smart IT,
42,ง30266,อิเล็กทรอนิกส์พื้นฐานสร้างสรรค์ 1,1,2,1,ผศ.ดร.นาถวดี นันทาภินัย,10,2,2,พฤ.7-8,ห้องปฏิบัติการอิเล็กทรอนิกส์,พฤ.7-8,ห้องปฏิบัติการอิเล็กทรอนิกส์,
43,ง30286,นักคิดนักสร้างผ่าน S.T.E.A.M.,1,2,1,อ.พริ้วฝน เทียนศรี,25,4,4,ศ.3-4,(ปิดรายวิชา),ศ.3-4,(ปิดรายวิชา),
44,ง30298,มันนี่ดีไซน์,1,2,1,อ.อุษาสุดา ภูษณสุวรรณศรี,27,17+1-1-1-1-1-1-1-1,11,จ.1-2,ม.4/7,จ.1-2,ม.4/7,
,,,,,2,อ.อุษาสุดา ภูษณสุวรรณศรี (เต็ม),27,24+1+1+1-1+1-1-1+1+1-1-1,25,พ.3-4,ม.6/6,พ.3-4,ม.6/6,Update 11/10/66
45,ง30274,นวัตกรรมการแปรรูปผลผลิตทางการเกษตร,1,2,1,อ.ดร.อริสา วันทัศน์,20,0+1+1+1+1+1+1,6,พ.1-2,ห้องปฏิบัติการโภชนาการ,พ.1-2,ห้องปฏิบัติการโภชนาการ,รายวิชาเปิดใหม่
,,,,,2,,20,0,0,ศ.3-4,ม.5/2,ศ.3-4,ม.5/2,รายวิชาเปิดใหม่
46,ง30275,เรื่องของความสุก,0.5,1,1,อ.ดร.อริสา วันทัศน์,20,0+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,16,พฤ.9,ห้องปฏิบัติการคณิตศาสตร์,จ.6,ห้องปฏิบัติการคณิตศาสตร์,รายวิชาเปิดใหม่
,,,,,2,,20,1+1+1+1+1+1+1-1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,21,พฤ.0,ห้องปฏิบัติการคณิตศาสตร์,อ.6,ห้องปฏิบัติการคณิตศาสตร์,รายวิชาเปิดใหม่
