ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 6 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก(Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
 (4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
57,ง33282,การสร้างหุ่นยนต์และสิ่งประดิษฐ์,1,2,1,ผศ.ดร.นาถวดี นันทาภินัย,20,20+1+1+1,23,ศ.3-4,"ห้องปฏิบัติการอิเล็กทรอนิกส์ ห้องงานไม้ 
ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB",ศ.3-4,"ห้องปฏิบัติการอิเล็กทรอนิกส์ ห้องงานไม้ 
ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB",
58,ก30206,ปริทรรศน์ภาษาเกาหลี 6,1,2,1,อ.แพร์ฉายญ์ พรประสิทธิ์,35,5-1-1,3,ศ.1-2,ม.5/6,ศ.1-2,ม.5/6,
59,ก30207,ภาษาเกาหลีสำหรับการสอบ TOPIK,1,2,1,Ms.Hyerin Kim,12,2+1-1,2,พฤ.7-8,ม.6/1,พฤ.7-8,ม.6/1,
60,ก33203,วัฒนธรรมเกาหลี,1,2,1,Ms.Hyerin Kim,35,11+1-1-1+1,11,จ.3-4,ม.6/2,จ.3-4,ม.6/2,
61,ก33210,ภาษาเกาหลี คาจา 6,1,2,1,Ms.Hyerin Kim,35,30-1+1+1+1+1+1,34,"จ.0, พฤ.9",ม.6/1,"จ.6, ศ.6",ม.6/1,
62,จ30232,ภาษาจีนเบื้องต้น 2,1,2,1,อ.ชัญญภัค โตเจริญบดี,12,0,0,พฤ.7-8,ม.5/7,พฤ.7-8,ม.5/7,
63,จ30234,ภาษาจีนเบื้องต้น 4,1,2,1,Mrs.Lindan Tan,12,0,0,พฤ.7-8,ม.5/3,พฤ.7-8,ม.5/3,
64,จ33202,ภาษาจีน 6,3,6,1,Mrs.Lindan / อ.ชัญญภัค,7,6+1,7,"จ.1-2, พ.1,9, พฤ.1-2",ม.6/6,"จ.1-2, อ.4, พ.1, พฤ.1-2",ม.6/6,
65,จ33248,เตรียมความพร้อม A-Level จีน,0.5,1,1,อ.ชัญญภัค โตเจริญบดี,35,2,2,ศ.3,ห้องปฏิบัติการชมรมภาษาอังกฤษ,ศ.3,ห้องปฏิบัติการชมรมภาษาอังกฤษ,
66,ญ30232,ภาษาญี่ปุ่นเบื้องต้น 2,1,2,1,อ.ดร.กวิตา ฟองสถาพร,12,4+1-1+1,5,พฤ.7-8,ม.5/6,พฤ.7-8,ม.5/6,
67,ญ30236,ภาษาญี่ปุ่นขั้นสูง 2,1,2,1,Mr.Takeshi Kashima,12,4,4,พฤ.7-8,ม.6/3,พฤ.7-8,ม.6/3,
68,ญ33202,ภาษาญี่ปุ่น 6,3,6,1,อ.ดร.กวิตา / Mr.Takeshi,8,7+1,8,"จ.1-2, พ.1,9, พฤ.1-2","จ.1-2,พ.9,พฤ.1-2 ม.6/3, 
พ.1 ห้องปฏิบัติการศิลปะ 318","จ.1-2, อ.4, พ.1, พฤ.1-2","จ.1-2,อ.4,พฤ.1-2 ม.6/3, 
พ.1 ห้องปฏิบัติการศิลปะ 318",
69,ญ33248,วัฒนธรรมญี่ปุ่น 2,1,2,1,อ.ดร.กวิตา ฟองสถาพร,35,32-1-1+1,31,ศ.1-2,ม.4/3,ศ.1-2,ม.4/3,
70,ป30215,ภาษาสเปนเบื้องต้น,1,2,1,อ.เบญจมาศ วงศ์สาม,12,3-1,2,พฤ.7-8,ม.6/7,พฤ.7-8,ม.6/7,
71,ฝ33202,ภาษาฝรั่งเศส 6,3,6,1,อ.ณิชาภัทร วินัยธรรมกุล,3,2+1,3,"จ.1-2, พ.1,9, พฤ.1-2","จ.1-2,พ.1 ห้องปฏิบัติการศิลปะ320,  พ.9 ม.5/7, 
พฤ.1-2 ห้องปฏิบัติการชมรมภาษาอังกฤษ","จ.1-2, อ.4, พ.1, พฤ.1-2","จ.1-2,พ.1 ห้องปฏิบัติการศิลปะ 320,  
อ.4 ม.5/7, พฤ.1-2 ห้องปฏิบัติการชมรมภาษาอังกฤษ",
72,ย30232,ภาษาเยอรมันเบื้องต้น 2,1,2,1,อ.ณัฏฐริญา ชินะพัฒนวงศ์,12,2-1,1,พฤ.7-8,ม.4/6,พฤ.7-8,ม.4/6,
